number,value,params_drop_out_rate_1,params_drop_out_rate_2,params_drop_out_rate_3,params_lr,params_num_fc,params_num_filter_1,params_num_filter_2,params_num_filter_3,params_optimizer
2,0.4445946008168362,0.30000000000000004,0.1,0.2,0.0004841758487706707,8,28,8,8,SGD
0,0.6108108132674888,0.35,0.35,0.30000000000000004,3.0806715661527127e-05,12,24,4,20,RMSprop
4,0.6567567600994497,0.30000000000000004,0.25,0.30000000000000004,0.00021279705813266562,6,24,4,32,Adam
3,0.6635135140370678,0.15000000000000002,0.25,0.1,0.004632253948054469,4,4,16,32,RMSprop
1,0.6702702722033939,0.30000000000000004,0.30000000000000004,0.15000000000000002,0.003053368497192127,8,16,16,32,Adam
